"locality","locality_description"
"Sharigh Mine",NULL
"SHARK BAY",NULL
"Sharon Heights",NULL
"Sharon mine","Stockton-Lewiston Coal."
"Shatsky Rise",NULL
"Shattuck Mine",NULL
"Shaukat Colony",NULL
"Shavaryn-Tsaram",NULL
"Shaw, Harris, Milne, & Baker's Claim",NULL
"Shawnee Quarry",NULL
"Shay Mine",NULL
"Sheba Mine",NULL
"Sheba Siding",NULL
"Sheea Mine",NULL
"Sheep Canyon Rd ends at intersection","Sagebrush Flat quad"
"Sheep Ranch Mine",NULL
"Sheep Ridge Quadrangle",NULL
"Sheffield Lake Complex",NULL
"Sheila Cove",NULL
"Shelburne Quarry",NULL
"Sheldon Mine",NULL
"Shelf north of Monterey Bay",NULL
"Shelf off Big Sur, CA",NULL
"Shelf off N CA",NULL
"Shelf off N CA coast",NULL
"Shelf off San Francisco",NULL
"Shell Creek, GSA 1955 Stop 12",NULL
"Shelley Churchyard, Suffolk",NULL
"Sheng Li No. 1","Sheng LI No. 1, small L-shaped pipe in main pit; Changma zone; 2.0 km WSW of Changmazhuang village."
"Shengus",NULL
"Shep Creek Rd",NULL
"Shepley, Huddersfield",NULL
"Sher Shah",NULL
"Sheranwala Gate",NULL
"Sherbrooke",NULL
"Sheriff Road",NULL
"Sheriff Road locality B",NULL
"Sherman's Grove",NULL
"Sherman Tunnel Mine",NULL
"Sherwin Hill",NULL
"Sherwood",NULL
"Sherwood Forest",NULL
"Shesh Mehall",NULL
"Sheshodonnell East Mine",NULL
"Shetland",NULL
"Shidara Kitashidara-gun",NULL
"Shield Nunatak",NULL
"Shifflett Ranch",NULL
"Shigar",NULL
"Shigar river valley",NULL
"Shigar Valley",NULL
"Shijiangshan mine",NULL
"Shimoga",NULL
"Shimonashi",NULL
"Shinarump #3 Mine Seven Mile Canyon Near Moab",NULL
"Shinarump #3 Sevenmile Dist. Grand Co.",NULL
"Shinarump 16 Mine Seven Mile Canyon Near Moab Grant Co.",NULL
"Shinbajo Min",NULL
"Shingle Creek",NULL
"Shinkai Seep Field",NULL
"Shinkolobwe Mine",NULL
"Shipton Range",NULL
"Shiraita Echigo Prov.",NULL
"Shiraita Mine",NULL
"Shire of NGAANYATJARRAK","10K N.of main pick sir fredrick range"
"Shirley Ann claim",NULL
"Shiromaru Mine",NULL
"Shishaldin",NULL
"Shishaldin Volcano",NULL
"Shishimsk Mtns.",NULL
"Shoal Creek",NULL
"Shoal River type locality",NULL
"Shoals Section",NULL
"Shoho","Western Seamount"
"Shonkin Creek",NULL
"Shonkin Shag Laccolith",NULL
"Shopville Quarry",NULL
"Shor-su",NULL
"Shore line off of Goodell Rd in the Keweenaw",NULL
"Shore Mine",NULL
"Shore of Lake Chon",NULL
"Shore of Lake Chon near DPRK/China border",NULL
"Shoreline Trail",NULL
"Short Creek",NULL
"Shoshone, CA",NULL
"shoshonite of Buckhorn Mountain",NULL
"Shotover Hill",NULL
"Showalter Quarry",NULL
"SHR 11",NULL
"SHR 36",NULL
"Shubuta type locality",NULL
"Shuksan Metamorphic Suite","On serpentine hill"
"Shuksan Metamorphic Suite","Talus pile"
"Shuksan Metamorphic Suite","Top of first hill, the westernmost hill"
"Shuksan Metamorphic Suite",NULL
"Shuler No. 1 mine","No. 3 Coal. 2 1/2 mi NE of Waukee"
"Siberian Craton",NULL
"SIBOULI",NULL
"Sichuan-Yunnan",NULL
"Sicilia Mine Near Meggen",NULL
"Siddique Pura",NULL
"Side canyon across from Riffle Lane",NULL
"Side canyon near S. end of LBC",NULL
"side drainage near big black spire north of Steelhead Falls",NULL
"Siders Bluff",NULL
"Sidi Amor Mine",NULL
"Sidi Lahsene","Road P6003"
"Sidney",NULL
"Sidney Creek",NULL
"Siebengebirge",NULL
"Sieg On The Lahn",NULL
"Siele Mine",NULL
"Sienzinger Spitze Hollersbachtal",NULL
"Sierra Almagrera",NULL
"Sierra Almagrua",NULL
"Sierra Bermeja",NULL
"Sierra Blanca",NULL
"Sierra Cabrera",NULL
"Sierra Cabrera Near Huercal",NULL
"Sierra Chichinautzin Volcanic Field",NULL
"Sierra De Almagrera",NULL
"Sierra De Cordoba",NULL
"Sierra De Oria",NULL
"Sierra Del Cadi",NULL
"Sierra Del Pajorito",NULL
"Sierra Di Falco",NULL
"Sierra Grande Mine",NULL
"Sierra Huercal",NULL
"Sierra Juarez Dist. Campo",NULL
"Sierra Madre Occidental",NULL
"Sierra Maestra Volc. Arc",NULL
"Sierra Morena",NULL
"Sierra Negra Volcano, Isabela Island, Galapagos",NULL
"Sierra Nevada",NULL
"Sierra Pintada",NULL
"Sigalda-gas station",NULL
"Sigalda-quarry",NULL
"Siggartartulik",NULL
"Siglo Xx Lode",NULL
"Siglo Xx Mine",NULL
"Sigmundshall Mine",NULL
"Sigmundshall Mine,wunstorf",NULL
"Signal Mountain","outcrop"
"Sigtuna",NULL
"Sigtuna, Uppland",NULL
"Sigvalde 5","Hemse Group - Petes Formation"
"Sijes",NULL
"Sikait",NULL
"Sikandria Colony",NULL
"Sikia cave","Top of a coastal cliff"
"Sil River",NULL
"Silali volcano",NULL
"Silas",NULL
"Silbenaal Mine",NULL
"Silberberg",NULL
"Silbernaal Mine",NULL
"Silberquelle Mine",NULL
"Silbury Hill, Avebury",NULL
"Silican Glass area, Western Desert, Egypt",NULL
"Silkiang Nala",NULL
"silt size",NULL
"silt to clay",NULL
"SilurianHills, Death Valley",NULL
"Silush mine","Winifrede Coal or Coalsburg?"
"Silva Ridge",NULL
"Silver-lead Mine",NULL
"Silver Bar Mine",NULL
"Silver Bay",NULL
"Silver Bell Mine",NULL
"Silver Bill Mine",NULL
"Silver Bow",NULL
"Silver Bow Creek",NULL
"Silver City stock monzonite and Monzonite Porphyry plugs and dikes",NULL
"Silver Cliff",NULL
"Silver Coin Mine",NULL
"Silver Crater Mine",NULL
"Silver District",NULL
"Silver Dollar Mine",NULL
"Silver Heir",NULL
"Silver Hill",NULL
"Silver Hill Prospect",NULL
"Silver Islet",NULL
"Silver King Mine",NULL
"Silver Lake","Chesapeake Bay"
"Silver Lake Mine","About 4 mi NE of Sliver lake, about 1 mi W of Toutle River fork."
"Silver Miller Mine",NULL
"Silver Peak",NULL
"Silver Point Mine",NULL
"Silver Reef",NULL
"Silver Rod Mine",NULL
"Silver Star Mine",NULL
"Silver Summit mine",NULL
"Silver Syndicate Mine",NULL
"Silverleaf Mine",NULL
"Silverton Road",NULL
"Simeone Quarry",NULL
"Simiutat",NULL
"Simmon's Bluff, South Carolina",NULL
"Simmonds Creek",NULL
"Simmons Bluff",NULL
"Simon Mine",NULL
"Simplon  Tunnel",NULL
"Simplon Tunnel",NULL
"Simplon Tunnel 9.499 Km North Side",NULL
"simpson quarry",NULL
"Simpson Quarry",NULL
"Sinai Peninsula",NULL
"Sinceny",NULL
"Sincos",NULL
"Singatse Range",NULL
"Singlepole Mtn.",NULL
"Sinjidi",NULL
"Sink Hole Mine",NULL
"Sinker Butte",NULL
"Sinmuson Village",NULL
"Sion Hill",NULL
"Siple Dome",NULL
"Sipsey River",NULL
"Sipton Mine",NULL
"Siraj Pura",NULL
"Sirena Mine",NULL
"Sitapur",NULL
"Sitara Colony",NULL
"Site 1",NULL
"Site 15",NULL
"Site 16",NULL
"Site 17",NULL
"Site 18",NULL
"Site 2",NULL
"Site 20",NULL
"Site 21",NULL
"Site 22",NULL
"Site 23",NULL
"Site 24",NULL
"Site 29",NULL
"Site 31",NULL
"Site 35",NULL
"Site 39",NULL
"Site 4",NULL
"site 4077/13",NULL
"Site 48",NULL
"Site 49",NULL
"Site 50",NULL
"Site 51",NULL
"Site 52",NULL
"Site 53",NULL
"Site 54",NULL
"Site 55",NULL
"Site 56",NULL
"Site 57",NULL
"Site 58",NULL
"Site 59",NULL
"Site 60",NULL
"Site 61",NULL
"Site 63",NULL
"Site 65",NULL
"Site 66",NULL
"Site 67",NULL
"Site 7",NULL
"Site 8",NULL
"Site 9",NULL
"Sittampundi",NULL
"Sittampundi Complex",NULL
"Sitting Bull Mine",NULL
"Sivec",NULL
"Sivec quarry",NULL
"SIX RD BELMONT",NULL
"Sixty_mile_bank",NULL
"Sixtymile Canyon",NULL
"Sizemore Creek Gas",NULL
"Sizemore Creek Oil",NULL
"SJ-11",NULL
"SJ-2",NULL
"SJ-21",NULL
"SJ-4",NULL
"SJ-5",NULL
"SJ-7",NULL
"Sjaaen",NULL
"Sjaaen Mine",NULL
"SJER",NULL
"Sjo Mine",NULL
"Sjo Mine Orebro",NULL
"Sjogruf Mine",NULL
"Sjogrufvan",NULL
"Sjonarholar (57)",NULL
"Sjonarholl",NULL
"Sjonarholl (1)",NULL
"Sjonarholl (3)",NULL
"Sjonarholl (4)",NULL
"Sjonarholl (6)",NULL
"Sk. Pike Mine Cobble Hill",NULL
"Skalafell",NULL
"Skardshlidi",NULL
"Skarnvik 3","Hemse Group - Levide Formation"
"Skaros",NULL
"Skarvefjeld",NULL
"Skateraw",NULL
"Skateraw Roy Ritchie cist",NULL
"Skeidara (69)",NULL
"Skeppsholm",NULL
"Skhirat",NULL
"Ski Pike Area",NULL
"Ski Pike Mine",NULL
"Ski Pike Pegmatite Cobble Hill",NULL
"Ski Rio",NULL
"Ski Rio access road",NULL
"Skikda",NULL
"Skipton Caves",NULL
"Skirmish Bay",NULL
"Skogarsandur (10)",NULL
"Skogarsandur (8)",NULL
"Skogarsandur (9)",NULL
"Skogarsandur(10)",NULL
"Skogsbole",NULL
"Skottvany",NULL
"Skouriotissa Mine",NULL
"Skraelingur",NULL
"Skrumpetorp",NULL
"Skudesundskjaer",NULL
"Skuggafjallakvisl",NULL
"Skunk Bayou",NULL
"Skutterud",NULL
"Skye",NULL
"Skyline Parkway",NULL
"Skymo Lakes Area","10T 460266mE 5408785mN"
"Skymo Lakes Area",NULL
"Skyview, Croton","roadcut"
"Sladming",NULL
"Slata Mine",NULL
"Slate Mountain",NULL
"Slate Mtn.",NULL
"Slate Range",NULL
"Slate River",NULL
"Slatersville",NULL
"Slattery Mine",NULL
"Sleaford",NULL
"Sleepers River Research Watershed",NULL
"Sleeping Beauty Mine",NULL
"Sleights Moor",NULL
"Slichowice Quarry",NULL
"Slide Mine",NULL
"Sloan's 1908 locality 386 at Broxton's Bridge",NULL
"Slobrekka Pegmatite",NULL
"Slochd Spring",NULL
"Slocum Quarry",NULL
"slope down to Crooked R. past water tanks",NULL
"Slope Mountain","Low in unit; ~170 m above Torok?"
"Slope Mountain","Low in unit; 2 m below intra-Nanushuk unconformity (~160 m above Torok?)"
"Slope Mountain","Top of Slope Mountain exposure"
"Slope Mountain area",NULL
"Slopes of Cross Hill volcanic edifice",NULL
"Slyppugil (79)",NULL
"Slyudyakna River",NULL
"Slyudyanka River",NULL
"Smaaland Cove",NULL
"Small","tributary between Robson and McBride"
"small gully exposure - waist deep in tephra",NULL
"Small Point",NULL
"Small quarry",NULL
"Small River","Rocky Mountain drainage"
"Smallwood Reservoir, Labrador",NULL
"Smart Mine",NULL
"Smartt Mine",NULL
"Smedley's Iron Mine",NULL
"Smedsgarden Ahio Region",NULL
"Smilkov",NULL
"Smirnathal",NULL
"Smissarve 3","Hemse Group - Levide Formation"
"Smith's Gully",NULL
"Smith Grade Road","Road cut"
"Smith Lake cirque",NULL
"Smith Mine","#3 Coal. 3/4 mi E of Washoe"
"Smith Quarry",NULL
"Smiths Church",NULL
"Smiths Church Field",NULL
"Smiths Grove Quarry",NULL
"Smithton Sno.",NULL
"Smoky Bear Prospect",NULL
"Smoky Hill Mine",NULL
"Smoots Pond core",NULL
"Smrci",NULL
"Smuaks",NULL
"Smuggler Mine",NULL
"Snæfell",NULL
"Snake River Canyon",NULL
"Snake River Plain","western Snake River Plain"
"Snapper Point",NULL
"Snarum",NULL
"Snauvalds 1","Hemse Group - Nar Formation"
"Sneads Creek",NULL
"Sneedo Creek",NULL
"Snippsnyte 2","Hemse Group - Nar Formation"
"Snjooldufjallgardur",NULL
"Snjoolduvatn",NULL
"Snoqualmie National Forest",NULL
"Snow Canyon Volcanic Field",NULL
"Snow Globe",NULL
"Snow Petrel Peak",NULL
"Snow White Mine",NULL
"Snowball","31-0108-00-202"
"Snowbird Mine",NULL
"snowdon carnarvon",NULL
"Snowflake Mine",NULL
"Snowshoe Claim",NULL
"Snowshoe Mine",NULL
"Snowy",NULL
"SNUG CORNER EST",NULL
"Snyder Bay",NULL
"Snyder Hill Mine",NULL
"Soaproot Saddle",NULL
"Soapstone Quarry","Richmond"
"Soapstone Quarry",NULL
"Soavina",NULL
"Socavão",NULL
"Socavon",NULL
"Socavon Progresso Ubina",NULL
"Socially Equal Energy Efficient Development Grounds",NULL
"Society Girl Mine",NULL
"Socony Mobil Inc. Ch-15 Hershman",NULL
"Socony Mobil Inc. Ch-17 Savich",NULL
"Socony Mobil Inc. Ch-5 Sanders",NULL
"Socony Mobil Inc. Ch-6 Hopkins",NULL
"Socony Mobil Inc. Ch-9 Williams",NULL
"Socony Mobil Oil Inc. Ch-13 Becker",NULL
"Socorro_1993_vent_site",NULL
"Socrates Mine",NULL
"Soda Lake",NULL
"Sofia",NULL
"Sofietoppen and Nonshøgda",NULL
"Soggendal",NULL
"Sogut Thrust hanging wall",NULL
"Sohio Petroleum Co. #1 Bowman",NULL
"Sohio Petroleum Co. #1 Sherwood-Templeton",NULL
"Sohnitz Valley",NULL
"Soklich Claim",NULL
"Sokol Placer",NULL
"Sokolovskiy Mine",NULL
"Sokor",NULL
"Soktuy Mtn.",NULL
"SOL MGL1111-MCS14",NULL
"Soldier's Delight",NULL
"Soledad Mine",NULL
"Solfatara",NULL
"Solfatara Giana",NULL
"Solfatara Gione",NULL
"Solheimahjaleiga (58)",NULL
"Solheimasandur (11)",NULL
"Solheimasandur (12)",NULL
"Solheimasandur (124)",NULL
"Solignano del Bagni",NULL
"Soling Road Pakora Stop",NULL
"Solita exploration block",NULL
"Solitude Section",NULL
"Sollgraben",NULL
"Solling",NULL
"Solomon Islands",NULL
"Solomons Island core",NULL
"Somerset Mine",NULL
"Somerset Stone",NULL
"SOMMA LARIKAI",NULL
"SOMMA RIM",NULL
"SOMMA SUMMIT",NULL
"Sommafiume Alp",NULL
"Somnaas","Horizontal barnacle/oysterband on cobbles/boulders above a shore platform"
"Somosierra",NULL
"Sonae",NULL
"Sondalo Val Malenco Bernina",NULL
"Sondeled",NULL
"Sondergrun",NULL
"Song Cau ",NULL
"Songo Pond Quarry",NULL
"Songot",NULL
"Songot Hills",NULL
"Sonne Zu Volpershausen Mine Near Wissen On Sieg Siegen",NULL
"Sonoma Quicksilver Mine",NULL
"Sonora Mine",NULL
"Sonora River",NULL
"SonoraDesert","Drylands"
"SonoranDesert","Drylands"
"Soot Creek mine","Fairview Coal"
"Sopa",NULL
"Sophia Mine",NULL
"Sophia Swamp",NULL
"Soputan",NULL
"SORAM1","In stream station (site)"
"SORAM2","In stream station (site)"
"SORAM3","In stream station (site)"
"SORAV1","In stream station (site)"
"SORAV2","In stream station (site)"
"SORAV3","In stream station (site)"
"Sore Lia",NULL
"Sørkapp Land, Svalbard",NULL
"Sormás",NULL
"Sornisdale",NULL
"Sorrento",NULL
"Sosa",NULL
"Soto Crater",NULL
"Soto Crater and surrounding area.",NULL
"Sotto Alp",NULL
"SOTW07WT-007D","On the southern scarp that bounds the large peak at the center of the Costa Rica rift"
"SOTW07WT-017D","Upper surface of an uptilted block of the Galapagos rift zone 2 km north of the center of spreading"
"SOUBISE POINT",NULL
"Soudan Mine",NULL
"Soufr. Leeward Trail",NULL
"SOUFRIERE BAY",NULL
"SOUFRIERE CRATER",NULL
"SOUFRIERE DOME",NULL
"SOUFRIERE E SIDE",NULL
"Soufrière Guadeloupe",NULL
"Soufriere Mtns.",NULL
"Soufriere rim",NULL
"Soufriere Table",NULL
"Soufriere Trail",NULL
"Souk El Arba Road",NULL
"Sourbutte quarry",NULL
"Source Of The Missouri R.",NULL
"South-west of Ag. Thomas","Unpaved road towards the Chapel of St Panteleimon; river cut bank south-west of the chapel"
"South /Shetland Islands, Antarctica",NULL
"South Acworth",NULL
"South America",NULL
"South Antelope Island",NULL
"South Atlantic",NULL
"South Atlantic/Antarctic basin",NULL
"South Bald Face Mtn.",NULL
"South Billie Mine",NULL
"South Branch Eighteenmile Creek",NULL
"South Brush Creek",NULL
"South Burnt Corn Creek",NULL
"South Canyon",NULL
"South Caradon Mine",NULL
"South Caradon Mine Linkinghorne",NULL
"South Carlton",NULL
"South Carlton Field",NULL
"South Cherry","B1065"
"South Cliff Mine",NULL
"South Cold Creek",NULL
"South Copeland Creek",NULL
"South Crofty Mine",NULL
"South Dauphin Island Field",NULL
"South Dean Creek",NULL
"South East of Koehr seamount",NULL
"South East of Koehr Seamount",NULL
"South East Point",NULL
"south flank","see photo"
"south flank of Mount Nansen",NULL
"south flank of Poas volcano in quarry on east side of main road",NULL
"South flank of summit cone",NULL
"south fo Azores",NULL
"South Foley",NULL
"South Fork Clearwater River","public land; public road access"
"South Fork Clearwater River",NULL
"South Fork Crooked River Between Post & Parban Crook Co.",NULL
"South Fork Lake Creek",NULL
"South Gardon Mine",NULL
"South Geneva","24-0015-02-208"
"South Georgia Basin",NULL
"South Gravel Hill Church",NULL
"South Hecla mine",NULL
"South Huxford",NULL
"South Indian Ocean",NULL
"South Island",NULL
"South Kearsarge Mine",NULL
"South Kennedy",NULL
"South lava flow of Kanaga Volcano, within Kanaton Caldera",NULL
"South Lunggar Rift, Tibet",NULL
"South Mantoloking",NULL
"South Mine",NULL
"South Mountain",NULL
"South Mountain between Pleasant Valley and North Fork Owyhee Wilderness Area",NULL
"South Mountain Mine",NULL
"South Mtn.",NULL
"South of Ag. Thomas","Along the road Ag. Marina-Alones, south of Ag. Thomas; road cut"
"south of Andersonville",NULL
"South of Besal",NULL
"south of Bihoma",NULL
"South of Bobrof Island",NULL
"South of Bode Verde Fracture Zone",NULL
"South of Gracias",NULL
"South of Gracias--Rio Arcaqual",NULL
"South of Hawaiian Ridge",NULL
"South of Horsfall Creek",NULL
"south of Hyderabad",NULL
"south of Jamestown",NULL
"South of Jebel Aulia dam (White Nile, Sudan)",NULL
"South of Johnson Seamount",NULL
"South of Johnson Seamount Group",NULL
"South of Kingman Reef",NULL
"south of Long Lake",NULL
"south of Marshall Branch",NULL
"South of Mashhad",NULL
"South of Mid-Pacfic Mountains",NULL
"South of mid-Pacific mountains",NULL
"South of Mid-Pacific mountains",NULL
"South of Mid-Pacific Mountains",NULL
"South of Mid-Pacific Rise",NULL
"South of Mid -Pacific Mountains",NULL
"South of Mid Pacific Mountains",NULL
"South of Pachuta",NULL
"south of Peterman",NULL
"south of Plockton",NULL
"south of Popes Creek, Potomac River",NULL
"south of Poplar Branch",NULL
"south of radio tower",NULL
"south of Salt Creek",NULL
"South of Santa Barbara (road cut)",NULL
"South of Sculpin Ridge",NULL
"South of Semisopochnoi Island",NULL
"south of Smuaks",NULL
"South of the Sculpin Ridge",NULL
"South of Thomaston",NULL
"South of Union Crossroads",NULL
"South of Warren Crossroads",NULL
"south of wood henge",NULL
"South Ollie",NULL
"South Orkney Plateau",NULL
"South Orkney Plateau, Antarctica",NULL
"South Orkney/Shetland",NULL
"South Pacific",NULL
"South Pacific Gyre",NULL
"South Pacific Gyre, Site U1365",NULL
"South Percy Peak",NULL
"South Pole",NULL
"South Pole Ice Core 2014-2016 site",NULL
"South Redding",NULL
"south rift zone",NULL
"South River Mine",NULL
"South Rogue De Lanceira",NULL
"South Roskear Mine",NULL
"South Russia",NULL
"South Sandwich Trench",NULL
"South Shambo",NULL
"South Shetland Island Area",NULL
"South Shetland Islands",NULL
"South Shetland Islands, Antarctica",NULL
"south shore of Kittiwake pond",NULL
"South Shore of Lake Turkana",NULL
"South Side Of La Fibbia",NULL
"South Sister Peak",NULL
"south slope NW Rota",NULL
"South Snake Range",NULL
"South Table Mtn.",NULL
"South Terras Mine",NULL
"South Uriah",NULL
"South Vocation",NULL
"South Wallingford",NULL
"South Weeks Bay",NULL
"South Wheal Buller",NULL
"South Wheal Frances",NULL
"South Wild Fork Creek",NULL
"South Windermere core",NULL
"South Womack Hill",NULL
"Southcentral Kentucky Mineral District",NULL
"Southeast Chatom",NULL
"Southeast Chatom Field",NULL
"Southeast Detroit",NULL
"Southeast Fairview",NULL
"Southeast Frisco City",NULL
"Southeast Huxford",NULL
"Southeast Mariana Forearc Rift",NULL
"Southeast Mobile Bay Field",NULL
"southeast of Atlantic City, NJ",NULL
"southeast of Johnson seamount",NULL
"southeast of Johnson Seamount group",NULL
"Southeast of Johnson Seamount Group",NULL
"Southeast of Twin Bluff south",NULL
"Southeast Pleasant Hill Church Field",NULL
"Southeast Silas Field",NULL
"Southeast Watson Creek Gas",NULL
"Southeast Watson Creek Oil",NULL
"Southeastern side of Lake Superior ","0.25 mi from Highway 17"
"Southeastern side of Lake Superior ","Along Highway 17"
"Southeastern side of Lake Superior ","Along Tribag Mine road, ~5 mi from Hwy 17"
"Southern Brazil",NULL
"Southern California",NULL
"Southern end of Cline Buttes",NULL
"Southern Ethiopia","Bobam-Nechsar area"
"Southern Gawler Range Volcanics",NULL
"Southern Glen",NULL
"Southern Harz",NULL
"Southern India",NULL
"Southern Indiana Oil Shale Development Co. #1 Bowell",NULL
"Southern Indiana Oil Shale Development Co. #1 McRae",NULL
"Southern Indiana Oil Shale Development Co. Roach #1",NULL
"Southern Line Islands, South Pacific",NULL
"Southern Mariana trough",NULL
"Southern Mexico",NULL
"southern Midland Basin",NULL
"Southern Newfoundland",NULL
"Southern Nopah Range, near Gunsight Mine",NULL
"Southern Nopah Range, near Noonday Mine",NULL
"Southern Ocean, Pacific Sector",NULL
"Southern Point Arena South",NULL
"Southern_California_Margin",NULL
"Southewest of Sculpin Ridge",NULL
"Southport mine","Newport (Beaver Hill) Coal. About 4 mi S of Marshfield."
"Southwark",NULL
"Southwest Barrytown",NULL
"Southwest Canaan Church",NULL
"Southwest Davidson Seamount",NULL
"Southwest Excel",NULL
"Southwest Fayette",NULL
"Southwest Mine",NULL
"Southwest Monroeville",NULL
"southwest of Alligator Bridge",NULL
"southwest of Bethlehem Church",NULL
"southwest of Cooke Crossroads",NULL
"southwest of Cottageville",NULL
"Southwest of Masaya lake",NULL
"Southwest of Masaya Lake",NULL
"southwest of Rose Hill",NULL
"Southwest of Sculpin Ridge",NULL
"southwest of Tar Landing",NULL
"Southwest Palmyra Atoll Deep",NULL
"Southwest Pleasant Hill Church Field",NULL
"Southwest Range",NULL
"Souwilpa Creek",NULL
"Sovind Marl type locality",NULL
"Sowood",NULL
"Soyalo",NULL
"Soyunsee",NULL
"SP-1","In stream site"
"SP-10","In stream site"
"SP-11","In stream site"
"SP-12","In stream site"
"SP-13","In stream site"
"SP-14","In stream site"
"SP-15","In stream site"
"SP-16","In stream site"
"SP-17","In stream site"
"SP-18","In stream site"
"SP-19","In stream site"
"SP-2","In stream site"
"SP-20","In stream site"
"SP-21","In stream site"
"SP-22","In stream site"
"SP-23","In stream site"
"SP-28","In stream site"
"SP-32","In stream site"
"SP-35","In stream site"
"SP-4","In stream site"
"SP-45","In stream site"
"SP-47","In stream site"
"SP-5","In stream site"
"SP-6","In stream site"
"SP-66","In stream site"
"SP-70","In stream site"
"SP-72","In stream site"
"SP-8","In stream site"
"SP-9","In stream site"
"Spadderclock Reef, John Heinz Natural Wildlife Refuge at Tinacum","Chesapeake Bay"
"Spain Mine",NULL
"Spangler Hills",NULL
"Spanish Steps",NULL
"Spar Brook",NULL
"Spar Hill Mine",NULL
"Spar Mining Co.",NULL
"Sparta",NULL
"SPC-14","South Pole Ice core project borehole"
"Specimen Gulch",NULL
"Specimen Mtn.",NULL
"Spence Harbour",NULL
"Spencer (Grimes) Quarry",NULL
"Spergen Hill Section",NULL
"Spermonde Archipelago",NULL
"Speronde Archipelago",NULL
"Sperra Do Sul",NULL
"SPG3",NULL
"Spiaggia Luisi d'Angelo","Island of Elba"
"Spice Hill",NULL
"Spikebuck Gulch",NULL
"Spindletop Dome",NULL
"Spinelli Quarry",NULL
"Spiral Jetty",NULL
"Spirit L, on Rte 125",NULL
"Spirit Mountain prospect","Near Chitina, in Wrangell-St. Elias National Park"
"Spit",NULL
"Spitalfields, London",NULL
"Spittal",NULL
"Spittal Am Drau",NULL
"Splains",NULL
"Split Lake",NULL
"Split Rock Mine",NULL
"Sponda Alps",NULL
"Sponda Muttariel",NULL
"Spot Pond","North end Spot Pond, Middlesex Fells Reservation, shore of reservoir"
"Spot Pond","South, ledge beneath huge boulder"
"Spot Pond",NULL
"Spøta",NULL
"Sprengisandur",NULL
"Spring Cave Section",NULL
"Spring Cr. Rd.",NULL
"SPRING GARDENS",NULL
"Spring Gully",NULL
"Spring Hill Lead Mine",NULL
"spring in crater",NULL
"Spring Point",NULL
"Springbourne",NULL
"Springfield Butte",NULL
"SPRINGFIELD ESTATE",NULL
"Springfield School Quarry, Marian",NULL
"Springhole Mine",NULL
"Springvale Mine",NULL
"Springville Quarry",NULL
"Spruce Mountain",NULL
"Spruce River #4 mine","Alma Coal. 1/2 mi W of Jeffrey"
